"Policy #","Insured","Date of Birth","Plan","Amount","Soliciting Producer","Submitted","Case Status","Status Date","Other"
100000,"Bob Davis","1981-12-17T06:01:15Z","VT40",2572.73,"Diana Smith","2023-12-29T12:51:51.698589Z","Submitted","2023-11-29T12:51:51.698540Z",""
100001,"Charlie Wilson","1992-06-13T12:55:30Z","VT40",2775.47,"John Brown","2024-11-29T12:51:51.698666Z","In Progress","2023-11-29T12:51:51.698644Z",""
100002,"Diana Davis","1963-04-17T23:02:51Z","VT40",753.35,"Charlie Doe","2024-11-16T12:51:51.698734Z","Pending","2023-11-29T12:51:51.698713Z",""
100003,"John Johnson","1972-11-11T00:46:21Z","VT40",4589.24,"Alice Davis","2024-02-20T12:51:51.698819Z","In Progress","2023-11-29T12:51:51.698798Z",""
100004,"Alice Wilson","1984-08-06T17:07:43Z","VT50",2853.24,"Jane Johnson","2023-12-22T12:51:51.698884Z","Pending","2023-11-29T12:51:51.698865Z",""
100005,"Diana Brown","1988-01-29T16:50:42Z","VT40",4907.84,"Jane Johnson","2000-11-27T12:51:51.698951Z","Ready for Signing","2023-11-20T12:51:51.698932Z",""
100006,"Bob Johnson","1963-06-01T10:49:54Z","VT50",3031.91,"Diana Johnson","2003-01-22T12:51:51.699017Z","Ready for Signing","2023-11-23T12:51:51.698997Z",""
100007,"Diana Brown","1985-09-23T04:24:18Z","VT40",2293.87,"Charlie Wilson","2024-12-30T12:51:51.699086Z","Submitted","2023-11-24T12:51:51.699064Z",""
100008,"Jane Brown","1950-12-25T20:14:58Z","VT40",3879.87,"John Brown","2023-11-29T12:51:51.699151Z","Ready for Signing","2023-11-25T12:51:51.699132Z",""
100009,"John Brown","1988-07-23T03:19:11Z","VT30",1323.96,"Charlie Doe","2023-11-29T12:51:51.699218Z","Ready for Signing","2023-11-26T12:51:51.699199Z",""
100010,"Diana Davis","1990-06-07T13:45:25Z","VT40",1136.1,"Charlie Wilson","2023-11-29T12:51:51.699284Z","Pending","2023-11-27T12:51:51.699265Z",""
100011,"Jane Smith","1952-11-09T04:05:52Z","VT30",1010.45,"Alice Smith","2023-11-29T12:51:51.699350Z","In Progress","2023-11-29T12:51:51.699330Z",""
100012,"Diana Doe","1986-10-16T12:00:14Z","VT40",502.9,"Bob Davis","2023-11-29T12:51:51.699424Z","Pending","2023-11-29T12:51:51.699404Z",""
100013,"Charlie Wilson","1992-04-29T19:32:48Z","VT20",2898.98,"Diana Johnson","2023-11-29T12:51:51.699489Z","Pending","2023-11-29T12:51:51.699470Z",""
100014,"Charlie Wilson","2002-09-14T21:27:46Z","VT30",1646.47,"Charlie Davis","2023-11-29T12:51:51.699555Z","Pending","2023-11-29T12:51:51.699536Z",""
100015,"John Wilson","1997-04-02T22:15:01Z","VT50",1639.63,"John Brown","2023-11-29T12:51:51.699621Z","Ready for Signing","2023-11-29T12:51:51.699602Z",""
100016,"Bob Brown","1986-05-30T10:59:47Z","VT40",1755.06,"Jane Brown","2023-11-29T12:51:51.699688Z","Submitted","2023-11-29T12:51:51.699669Z",""
100017,"Alice Smith","1969-11-10T03:30:12Z","VT30",3106,"Alice Wilson","2023-11-29T12:51:51.699753Z","In Progress","2023-11-29T12:51:51.699733Z",""
100018,"Jane Johnson","1988-10-30T05:37:40Z","VT40",631.46,"Diana Wilson","2023-11-29T12:51:51.699944Z","Ready for Signing","2023-11-29T12:51:51.699922Z",""
100019,"John Wilson","1970-06-09T03:20:34Z","VT20",3522.5,"Jane Davis","2023-11-29T12:51:51.700001Z","Submitted","2023-11-27T12:51:51.699984Z",""
100021,"Alice Bob","1970-06-09T03:20:34Z","VT20TEXT10",3522.5,"Derek James","2023-11-29T12:51:51.700001Z","Submitted","2023-11-29T12:51:51.699984Z",""
100020,"JANE JACKSON","1988-10-29T05:37:40Z","VT10",631.46,"DIANA WILSON","2023-11-29T12:51:51.699944Z","Ready for Signing","2023-11-29T12:51:51.699922Z",""
